caption,rank_0,better_rank,k,mask_used
A cozy living room scene features easy chairs and a large television.,25,17,20,A cozy living room _ _ easy chairs and a large television.
A skateboarder wearing a plaid shirt and jeans.,29,4,20,_ _ _ wearing a plaid shirt and jeans.
A skateboarder wearing a plaid shirt and jeans.,29,6,20,A skateboarder wearing a plaid shirt _ _.
A skateboarder wearing a plaid shirt and jeans.,29,6,20,A skateboarder _ _ _ _ _ _ _ _ _.
Some yellow objects are floating in red liquid in a jar.,29,6,20,_ _ _ are floating in red liquid in a jar
Some yellow objects are floating in red liquid in a jar.,29,12,20,Some yellow objects are floating in _ _ in a jar
A couple on a motorcycle in front of a bus and a metermaid car,22,3,20,_ _ on a motorcycle in front of a bus and a metermaid car
A couple on a motorcycle in front of a bus and a metermaid car,22,15,20,A couple on a motorcycle in front of a bus and a _ _ _
A couple on a motorcycle in front of a bus and a metermaid car,22,4,20,A couple _ _ _ _ in front of a bus and a metermaid car
Children's toy animals are strewn across a floor.,29,13,20,Children's toy animals _ _ _ _ _ a floor
People sitting under an umbrella looking at the scenery.,25,9,20,_ _ under an umbrella looking at the scenery.
The woman in the kitchen is holding a huge pan.,29,10,20,_ _ _ the kitchen is holding a huge pan
The woman in the kitchen is holding a huge pan.,29,19,20,The woman in the kitchen is _ _ _ _
An oven in a kitchen with a stove on top in between counter tops.,22,19,20,_ _ _ a kitchen with a stove on top in between counter tops
An oven in a kitchen with a stove on top in between counter tops.,22,6,20,An oven in a kitchen with a _ on top in between counter tops
"A large herd of sheep grazing in a pasture,",27,12,20,_ _ _ of sheep grazing in a pasture
"A large herd of sheep grazing in a pasture,",27,13,20,A large herd of sheep _ _ _ _
"A large herd of sheep grazing in a pasture,",27,17,20,A large herd of sheep grazing _ _ _
Some dogs stick their heads out the car window.,27,8,20,_ _ stick their heads out the car window
Some dogs stick their heads out the car window.,27,19,20,Some dogs _ _ _ _ out the car window
Some dogs stick their heads out the car window.,27,18,20,Some dogs stick their heads out the _ _
Some dogs stick their heads out the car window.,27,17,20,Some dogs stick their heads _ _ _ _ _
The view of a large bathroom with a walk in closet.,29,20,20,The view of _ _ _ _ with a walk in closet.
A model standing next to a scooter in the middle of a room of people,22,4,20,A model standing next to a scooter in the middle of _ _ _ _
A dog greets a sheep that is in a sheep pen.,26,18,20,_ _ greets a sheep that is in a sheep pen.
A beautiful new kitchen with natural wood cabinets.,25,3,20,_ _ _ _ with natural wood cabinets.
A beautiful new kitchen with natural wood cabinets.,25,3,20,A _ _ _ _ with natural wood cabinets.
A man getting a drink from a water fountain that is a toilet.,28,20,20,_ _ getting a drink from a water fountain that is a toilet
A man getting a drink from a water fountain that is a toilet.,28,12,20,A man getting a drink from a _ _ _ _ that is a toilet
Group of three motorcyclists standing in front of their motorcycles.,22,20,20,_ _ _ motorcyclists standing in front of their motorcycles.
Group of three motorcyclists standing in front of their motorcycles.,22,19,20,Group of three motorcyclists standing in front of _ _ _.
An old military jet fighter climbing in altitude.,25,8,20,_ _ military jet fighter climbing in altitude
An old military jet fighter climbing in altitude.,25,9,20,An old military jet fighter _ _ _
An old military jet fighter climbing in altitude.,25,9,20,An old military jet fighter climbing _ _
A little boy sitting alone on a motorcycle.,24,9,20,A little boy _ _ on a motorcycle
A little boy sitting alone on a motorcycle.,24,17,20,A little boy sitting alone _ _ _
A skate boarder at night prepairing to skate away.,28,12,20,_ _ _ at night prepairing to skate away.
A skate boarder at night prepairing to skate away.,28,19,20,A skate boarder at night _ _ to skate away.
A skate boarder at night prepairing to skate away.,28,15,20,A skate boarder _ _ prepairing to skate away.
A woman is taking a picture of herself in a bathroom mirror.,24,16,20,_ _ _ taking a picture of herself in a bathroom mirror
A woman is taking a picture of herself in a bathroom mirror.,24,9,20,A woman is _ _ _ _ of herself in a bathroom mirror
People are waiting in a city area to board a bus.,23,20,20,People are waiting in a _ _ to board a bus.
People are waiting in a city area to board a bus.,23,20,20,People are waiting in a city area to _ _ _ _.
People are waiting in a city area to board a bus.,23,20,20,People are _ _ in a city area to board a bus.
A motorcycle moves forward down an empty street.,21,9,20,_ _ moves forward down an empty street.
A motorcycle moves forward down an empty street.,21,6,20,A motorcycle _ _ down an empty street.
A motorcycle moves forward down an empty street.,21,3,20,A motorcycle moves forward _ _ _ _.
A motorcycle moves forward down an empty street.,21,9,20,A motorcycle moves forward down an _ _.
"A clean, European toilet with toilet paper and cleaning brush.",29,7,20,"A clean, European toilet with toilet paper and _ _"
A half eaten dessert cake sitting on a cake plate.,22,11,20,_ _ _ dessert cake sitting on a cake plate
A half eaten dessert cake sitting on a cake plate.,22,11,20,A half eaten dessert cake _ _ _ _ _ _
A half eaten dessert cake sitting on a cake plate.,22,13,20,A half eaten dessert cake sitting on a _ _
Four giraffes in a grassy plain with trees in the background.,24,5,20,_ _ _ in a grassy plain with trees in the background.
Four giraffes in a grassy plain with trees in the background.,24,18,20,Four giraffes _ _ _ _ _ with trees in the background.
A bathroom being renovated featuring a toilette and shower.,22,17,20,A bathroom being renovated _ _ _ toilette and shower
A bathroom being renovated featuring a toilette and shower.,22,12,20,A bathroom being renovated featuring a _ _ and shower
A group of motorcycle riders driving past buildings.,24,8,20,_ _ _ motorcycle riders driving past buildings.
An old man standing in a kitchen posing for a picture.,22,0,20,An old man _ _ _ _ posing for a picture
A fancy bathroom with his and her mirrors and sinks next to a toilette.,29,3,20,A fancy bathroom with _ _ _ and sinks next to a toilette.
A motorcyclist is in mid air hanging on to the handlebars.,26,10,20,_ _ _ is in mid air hanging on to the handlebars
A motorcyclist is in mid air hanging on to the handlebars.,26,0,20,A motorcyclist is in mid air _ _ _ _ _ _ _
A motorcyclist is in mid air hanging on to the handlebars.,26,13,20,A motorcyclist is in mid air hanging on to the _
A woman taking a picture of herself in a bathroom.,26,15,20,A woman _ _ _ _ of herself in a bathroom.
"A long empty, minimal modern skylit home kitchen.",22,16,20,"_ _ empty, minimal modern skylit home kitchen"
"A long empty, minimal modern skylit home kitchen.",22,9,20,"A long empty, minimal modern skylit _ _"
Two men walking the tarmac of an airport.,26,20,20,_ _ walking the tarmac of an airport.
Two men walking the tarmac of an airport.,26,18,20,Two men walking the _ of an airport.
Two men walking the tarmac of an airport.,26,11,20,Two men walking the tarmac _ _ _.
A living room is arranged so people can watch the television.,25,6,20,_ _ _ is arranged so people can watch the television
A living room is arranged so people can watch the television.,25,11,20,A living room is arranged so people can watch _ _
A small child climbs atop a large motorcycle,25,8,20,A small child _ _ a large motorcycle
A small child climbs atop a large motorcycle,25,19,20,A small child climbs atop _ _ _
A small child climbs atop a large motorcycle,25,18,20,A small child climbs atop a large _
A giraffe and a zebra walking through an African plain.,26,13,20,A giraffe and _ _ walking through an African plain.
A giraffe and a zebra walking through an African plain.,26,19,20,A giraffe and a zebra _ _ _ _ _ _ _ _.
A truck nears a stop light in rainy weather.,26,14,20,_ _ nears a stop light in rainy weather.
A truck nears a stop light in rainy weather.,26,7,20,A truck nears a stop light in _ _.
The bathroom has black and white checkered flooring.,24,11,20,The bathroom has black and white _ _.
The bathroom has black and white checkered flooring.,24,15,20,The bathroom has black and white checkered _.
A dog rides in a cart pulled by a man on a bike.,22,12,20,_ _ rides in a cart pulled by a man on a bike.
A dog rides in a cart pulled by a man on a bike.,22,9,20,A dog rides in a cart pulled by a _ on a bike.
A dog rides in a cart pulled by a man on a bike.,22,17,20,A dog rides in a cart pulled by a man on a _.
Two bicycle riders riding in the city at night.,26,5,20,_ _ _ riding in the city at night.
Two bicycle riders riding in the city at night.,26,7,20,Two bicycle riders riding in the city _ _.
Two bicycle riders riding in the city at night.,26,16,20,Two bicycle riders riding _ _ _ _ _.
A person sitting on a stool on the street.,25,1,20,_ _ sitting on a stool on the street.
A person sitting on a stool on the street.,25,8,20,A person sitting on a stool _ _ _.
A person sitting on a stool on the street.,25,16,20,A person sitting on a _ on the street.
A person cross country skiing in the street of a town in winter.,27,17,20,_ _ cross country skiing in the street of a town in winter.
A person cross country skiing in the street of a town in winter.,27,9,20,A person _ _ _ in the street of a town in winter.
An airplane is doing tricks and emitting smoke.,28,16,20,_ _ _ doing tricks and emitting smoke
Several bikers are lined up in a parking lot.,27,20,20,_ _ are lined up in a parking lot.
A giraffe and a zebra checking each other out.,27,9,20,A giraffe and _ _ checking each other out.
An overview picture of a street at night.,29,11,20,_ _ _ of a street at night
An overview picture of a street at night.,29,0,20,An overview picture _ _ _ at night
An overview picture of a street at night.,29,12,20,An overview picture of a street _ _
An overview picture of a street at night.,29,17,20,_ _ picture of a street at night
A few items sit on top of a toilet in a bathroom stall.,28,14,20,_ _ _ sit on top of a toilet in a bathroom stall.
A few items sit on top of a toilet in a bathroom stall.,28,16,20,A few items sit on top of a _ in a bathroom stall.
A few items sit on top of a toilet in a bathroom stall.,28,12,20,A few items sit on top of a toilet in a _ _.
A few items sit on top of a toilet in a bathroom stall.,28,14,20,A few items _ _ _ _ _ a toilet in a bathroom stall.
