caption,rank_0,better_rank,k,mask_used
Someone is laying in front of the TV eating food .,23,0,10,Someone is _ _ _ _ _ the TV eating food .
A black dog and a brown dog are jumping up to catch a red toy .,17,6,10,A black dog and a brown dog _ _ _ _ _ _ a red toy .
A child playing on a rope net .,14,7,10,A child _ _ a rope net .
A child playing on a rope net .,14,9,10,A child playing on a _ _ .
A child playing on a rope net .,14,10,10,_ child playing on a rope net .
Four people are jumping from the top of a flight of stairs .,17,7,10,_ _ are jumping from the top of a flight of stairs .
Four people are jumping from the top of a flight of stairs .,17,9,10,Four people _ _ _ _ _ _ _ _ _ _ _ _ .
Four people are jumping from the top of a flight of stairs .,17,6,10,_ _ _ jumping from the top of a flight of stairs .
The young gymnast 's supple body soars above the balance beam .,16,9,10,The young gymnast 's _ _ soars above the balance beam .
A person with gray hair is painting in a public place surrounded by others who are also painting .,15,10,10,_ _ _ gray hair is painting in a public place surrounded by others who are also painting .
A man and child kayak through gentle waters .,11,0,10,_ _ _ child kayak through gentle waters .
A man and child kayak through gentle waters .,11,1,10,A man and child kayak _ _ _ .
A young girl in a orange shirt shaking a hand .,25,8,10,_ young girl in a orange shirt shaking a hand .
A man is sleeping on a bench near a bus stop .,12,9,10,A man is _ _ _ _ near a bus stop .
One person is standing on a bridge at night .,29,6,10,One person is standing on a bridge at _ .
An oriental man selling produce .,29,8,10,_ _ _ selling produce .
A group of people picnicking at picnic tables in front of a playground .,12,8,10,A group of people picnicking at picnic tables _ _ _ _ _ .
A young man in sunglasses holds a blue cup next to a grill with sausages .,13,0,10,_ _ _ in sunglasses holds a blue cup next to a grill with sausages .
A young man in sunglasses holds a blue cup next to a grill with sausages .,13,0,10,A young man in sunglasses holds a blue cup next to a _ with _ .
The man with pierced ears is wearing glasses and an orange hat .,25,1,10,_ _ with pierced ears is wearing glasses and an orange hat .
The man with pierced ears is wearing glasses and an orange hat .,25,1,10,The man with _ _ is wearing glasses and an orange hat .
A little baby is wearing purple pants .,12,5,10,A little baby _ _ purple pants .
A little baby is wearing purple pants .,12,5,10,A little baby is wearing _ _ .
Couple with a baby sit outdoors next to their stroller .,15,3,10,Couple with a _ sit outdoors next to their stroller .
Couple with a baby sit outdoors next to their stroller .,15,4,10,Couple with a baby sit outdoors next to _ _ .
Some women are standing in front of a bus with buildings behind it .,13,9,10,_ _ are standing in front of a bus with buildings behind it
Some women are standing in front of a bus with buildings behind it .,13,7,10,Some women are standing in front of a bus with buildings _ _ _
Two women  one in green and the other in purple  washing a sidewalk .,29,4,10,Two women _ _ _ _ _ _ _ washing a sidewalk .
Several firefighters stand outside of a building near their firetrucks .,22,7,10,_ _ stand outside of a building near their firetrucks .
Several firefighters stand outside of a building near their firetrucks .,22,2,10,Several firefighters _ _ _ _ _ near their firetrucks .
Dog with orange ball at feet  stands on shore shaking off water,28,4,10,Dog with orange ball at feet stands on _ _ _ _ _
Dog with orange ball at feet  stands on shore shaking off water,28,9,10,Dog with orange ball at feet stands on shore _ _ _
a group of joggers running on the sidewalk .,12,6,10,_ group of joggers running on the sidewalk .
A man is holding his cup while he grills hotdogs .,28,1,10,_ _ _ holding his cup while he grills hotdogs .
A man is holding his cup while he grills hotdogs .,28,0,10,A man is holding his cup _ _ _ _ .
A man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,12,9,10,_ _ _ a green shirt and red life jacket is sitting in a canoe drifting around the lake .
A man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,12,8,10,A man in _ _ _ and red life jacket is sitting in a canoe drifting around the lake .
A man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,12,7,10,A man in a green shirt and red life jacket _ _ _ _ _ _ _ _ _ _ _ .
The white dog is playing in a green field with a yellow toy .,12,10,10,The white dog is playing in a _ _ _ with a yellow toy .
Some young boys ride bikes in the street .,28,10,10,Some young boys ride bikes _ _ _ .
A man with a red jacket is shielding himself from the sun trying to read a piece of paper .,13,5,10,A man with a red jacket is shielding himself from the sun trying to read _ _ _ _ .
A child using an electric mixer in a bowl .,11,4,10,A child using an electric mixer _ _ _ .
A man with a badge is standing on a wood floor next to a structure .,17,3,10,_ _ _ a badge is standing on a wood floor next to a structure .
A man with a badge is standing on a wood floor next to a structure .,17,5,10,A man with _ _ is standing on a wood floor next to a structure .
A man with a badge is standing on a wood floor next to a structure .,17,6,10,A man with a badge is standing on a wood floor next to _ _ .
An officer in a reflective vest stands at the front of his van with his dog .,12,4,10,An officer in _ _ _ stands at the front of his van with his dog .
Two dogs playing on a beach .,20,7,10,Two dogs _ _ a beach .
two guys jumping over a gate together,28,9,10,two guys jumping over _ _ _
A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and spectators look on .,16,0,10,A man with glasses is sitting a chair playing the oboe _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ .
A couple with their newborn baby sitting under a tree facing a lake .,21,5,20,A couple with their newborn baby _ _ _ _ _ _ _ _ .
A couple with their newborn baby sitting under a tree facing a lake .,21,5,20,A couple with their newborn baby sitting under a tree facing a _ .
People are watching a person in a weird vehicle in a plaza .,21,16,20,_ are watching a person in a weird vehicle in a plaza .
People are watching a person in a weird vehicle in a plaza .,21,7,20,People are watching _ _ _ _ _ _ in a plaza .
People are watching a person in a weird vehicle in a plaza .,21,19,20,People are watching a person in a weird vehicle in a _ .
A man in a yellow shirt  with a tall gray suitcase  sitting next to another man in a white shirt and gray pants  behind them a tall billboard for sunglasses and prescription glasses .,24,0,20,_ _ _ a yellow shirt with a tall gray suitcase sitting next to another man in a white shirt and gray pants behind them a tall billboard for sunglasses and prescription glasses
A man in a yellow shirt  with a tall gray suitcase  sitting next to another man in a white shirt and gray pants  behind them a tall billboard for sunglasses and prescription glasses .,24,5,20,A man in a _ _ with a tall gray suitcase sitting next to another man in a white shirt and gray pants behind them a tall billboard for sunglasses and prescription glasses
A man in a yellow shirt  with a tall gray suitcase  sitting next to another man in a white shirt and gray pants  behind them a tall billboard for sunglasses and prescription glasses .,24,3,20,A man in a yellow shirt with a _ _ _ sitting next to another man in a white shirt and gray pants behind them a tall billboard for sunglasses and prescription glasses
A man in a yellow shirt  with a tall gray suitcase  sitting next to another man in a white shirt and gray pants  behind them a tall billboard for sunglasses and prescription glasses .,24,10,20,A man in a yellow shirt with a tall gray suitcase sitting next to another man in a _ _ _ _ _ behind them a tall billboard for sunglasses and prescription glasses
At least four instrumentalists play clarinets and other instruments in a curtained room .,25,16,20,_ _ _ instrumentalists play clarinets and other instruments in a curtained room .
At least four instrumentalists play clarinets and other instruments in a curtained room .,25,13,20,At least four instrumentalists play _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ .
At least four instrumentalists play clarinets and other instruments in a curtained room .,25,9,20,At least four instrumentalists play clarinets and other instruments _ _ _ _ _ _ _ .
At least four instrumentalists play clarinets and other instruments in a curtained room .,25,19,20,_ _ _ _ play clarinets and other instruments in a curtained room .
A samurai warrior in full black dress takes his sword from the sheath on an outdoor training mat .,23,11,20,A samurai warrior in full black dress _ _ _ from the sheath on an outdoor training mat .
A girl with numerous bags walks on a crosswalk along with other people .,27,16,20,_ _ with numerous bags walks on a crosswalk along with other people .
A girl with numerous bags walks on a crosswalk along with other people .,27,0,20,A girl with numerous bags _ _ _ _ along with other people .
Several men are sitting by a river conversing with one another while a boat drifts by them .,28,20,20,Several men are _ _ _ river conversing with one another while a boat drifts by them .
Several men are sitting by a river conversing with one another while a boat drifts by them .,28,15,20,Several men are sitting by a river _ _ _ _ _ while a boat drifts by them .
Several men are sitting by a river conversing with one another while a boat drifts by them .,28,8,20,Several men are sitting by a river conversing with one another while a _ _ _ _ .
There is a skyscraper in the distance with a man walking in front of the camera .,21,14,20,_ _ a skyscraper in the distance with a man walking in front of the camera .
There is a skyscraper in the distance with a man walking in front of the camera .,21,12,20,There is a skyscraper in the distance _ _ _ _ _ _ _ _ _ .
A woman pushes her baby in a stroller .,22,13,20,_ pushes her baby in a stroller .
A woman pushes her baby in a stroller .,22,3,20,A woman _ _ _ in a stroller .
A woman pushes her baby in a stroller .,22,20,20,A _ pushes her baby in a stroller .
A young boy empties a bottle over the railing of a balcony unto the man below .,23,17,20,_ _ _ empties a bottle over the railing of a balcony unto the man below .
A woman in black pants napping on the couch .,24,15,20,A woman _ _ _ napping on the couch .
A woman in black pants napping on the couch .,24,14,20,A woman in black pants _ _ _ _ .
A woman in black pants napping on the couch .,24,11,20,A woman in black pants napping on the _ .
A girl paddling down a large river  as seen from behind her .,22,15,20,A _ paddling down a large river as seen from behind her .
A child is performing a skateboard trick while another child with a skateboard leans on a wall .,28,9,20,A child _ _ _ _ _ _ while another child with a skateboard leans on a wall .
A young boy runs aross the street .,23,12,20,_ young boy runs across the street .
A young boy runs aross the street .,23,11,20,A _ boy runs across the street .
A young boy runs aross the street .,23,4,20,A young boy _ across the street .
A young boy runs aross the street .,23,9,20,A young boy runs across the _ .
Two constructions workers sit on a beam taking a break .,22,15,20,_ _ workers sit on a beam taking a break .
Two constructions workers sit on a beam taking a break .,22,16,20,Two constructions _ _ _ _ _ taking a break .
Two constructions workers sit on a beam taking a break .,22,20,20,_ constructions workers sit on a beam taking a break .
A woman crouches near three dogs in a field .,21,10,20,_ woman crouches near three dogs in a field .
A woman crouches near three dogs in a field .,21,7,20,A _ crouches near three dogs in a field .
Someone is laying in front of the TV eating food .,23,4,20,_ is laying in front of the TV eating food .
Someone is laying in front of the TV eating food .,23,0,20,Someone is _ _ _ _ _ the TV eating food .
A young female student performing a downward kick to break a board held by her Karate instructor .,23,18,20,_ _ _ student performing a downward kick to break a board held by her Karate instructor .
A young female student performing a downward kick to break a board held by her Karate instructor .,23,18,20,A young female student performing a downward kick to break a board held by her _ _ _ .
A little boy skateboarder is doing a trick on his board while another young skateboarder watches .,26,13,20,A little boy skateboarder is doing a trick on his board while _ _ _ _ _ .
Two construction workers take a seat on a steel beam .,22,20,20,_ _ construction workers take a seat on a steel beam .
Two construction workers take a seat on a steel beam .,22,16,20,Two _ _ take a seat on a steel beam .
Two construction workers take a seat on a steel beam .,22,20,20,Two construction workers take a seat on a _ _ .
A young girl in a orange shirt shaking a hand .,25,8,20,_ young girl in a orange shirt shaking a hand .
A young girl in a orange shirt shaking a hand .,25,15,20,A _ _ in a orange shirt shaking a hand .
A young girl in a orange shirt shaking a hand .,25,12,20,A young girl in a orange shirt _ _ _ .
One person is standing on a bridge at night .,29,15,20,_ person is standing on a bridge at night .
One person is standing on a bridge at night .,29,11,20,One _ is standing on a bridge at night .
One person is standing on a bridge at night .,29,6,20,One person is standing on a bridge at _ .
An oriental man selling produce .,29,8,20,_ _ _ selling produce .
The man with pierced ears is wearing glasses and an orange hat .,25,1,20,_ _ with pierced ears is wearing glasses and an orange hat .
The man with pierced ears is wearing glasses and an orange hat .,25,1,20,The man with _ _ is wearing glasses and an orange hat .
The man with pierced ears is wearing glasses and an orange hat .,25,19,20,The man with pierced ears is wearing glasses and _ _ _ .
2 kids playing on a seesaw,25,16,20,_ kids playing on a seesaw
2 kids playing on a seesaw,25,17,20,2 kids playing on a _
Two women  one in green and the other in purple  washing a sidewalk .,29,4,20,Two women _ _ _ _ _ _ _ washing a sidewalk .
Two women  one in green and the other in purple  washing a sidewalk .,29,17,20,_ _ one in green and the other in purple washing a _ .
Several firefighters stand outside of a building near their firetrucks .,22,7,20,_ _ stand outside of a building near their firetrucks .
Several firefighters stand outside of a building near their firetrucks .,22,2,20,Several firefighters _ _ _ _ _ near their firetrucks .
Dog with orange ball at feet  stands on shore shaking off water,28,4,20,Dog with orange ball at feet stands on _ _ _ _ _
Dog with orange ball at feet  stands on shore shaking off water,28,9,20,Dog with orange ball at feet stands on shore _ _ _
A man is holding his cup while he grills hotdogs .,28,1,20,_ _ _ holding his cup while he grills hotdogs .
A man is holding his cup while he grills hotdogs .,28,0,20,A man is holding his cup _ _ _ _ .
Some young boys ride bikes in the street .,28,10,20,Some young boys ride bikes _ _ _ .
Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .,22,15,20,Three young men and _ _ _ wearing sneakers are leaping in midair at the top of a flight of concrete stairs .
Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .,22,17,20,Three young men and a young woman wearing _ are leaping in midair at the top of a flight of concrete stairs .
Three young men and a young woman wearing sneakers are leaping in midair at the top of a flight of concrete stairs .,22,16,20,Three young men and a young woman wearing sneakers are leaping in midair _ _ _ _ _ _ _ _ _ .
two guys jumping over a gate together,28,20,20,_ _ jumping over a gate together
two guys jumping over a gate together,28,16,20,two guys _ _ a gate together
two guys jumping over a gate together,28,9,20,two guys jumping over _ _ _
two guys jumping over a gate together,28,18,20,two guys jumping over a gate _
